,trade_id,address,chain,symbol,target_position_value,entry_date_time,next_market_open,market_entry_date_time,market_entry_date,vwap,post_cumulative_share_count,realized_profit,prior_portfolio_value,current_position,prior_position_value,cash_used,share_count,prior_cumulative_share_count,adjusted_entry
2027,282,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,GOLF,0.0,2022-03-16 16:33:45,2022-03-16 13:30:00,2022-03-16 17:00:00,2022-03-16,43.065449,0.0,0.0,9858.603700768737,0.0,-186.66474022655154,-186.66474022655154,4.334443145514436,-4.334443145514436,0.0
2034,283,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,SPY,-1971.7207401537476,2022-03-16 16:33:45,2022-03-16 13:30:00,2022-03-16 17:00:00,2022-03-16,430.834151,-4.576519144494995,-99.4861625820176,9858.603700768737,-1971.7207401537476,-1540.2150561472188,431.5056840065288,-1.0015586810028176,-3.5749604634921774,0.0
2042,284,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,SLB,197.17207401537476,2022-03-16 16:33:45,2022-03-16 13:30:00,2022-03-16 17:00:00,2022-03-16,38.63851,5.102993723499555,20.45730478724409,9858.603700768737,197.17207401537476,0.0,-197.17207401537476,5.102993723499555,0.0,0.0
2046,285,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,HDB,244.61216878868095,2022-03-18 13:47:52,2022-03-18 13:30:00,2022-03-18 14:00:00,2022-03-18,61.791558,3.9586664700812517,-1.3385913975262338,9784.486751547238,244.61216878868095,0.0,-244.61216878868095,3.9586664700812517,0.0,0.0
2067,286,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,ETHUSD,492.3656733451818,2022-03-24 14:30:36,2022-03-24 13:30:00,2022-03-24 15:00:00,2022-03-24,3097.386613,0.15896164569146143,-9.700309669679307,9847.313466903635,473.9886837081738,411.28058854793437,-81.08508479724742,0.026178548217689807,0.13278309747377162,0.0
2076,287,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,URA,497.9192608397299,2022-03-25 20:52:26,2022-03-25 13:30:00,2022-03-28 13:00:00,2022-03-28,25.521811,19.509558347553387,35.94794152959325,9958.385216794597,497.9192608397299,526.6186719143458,28.69941107461591,-1.124505274120865,20.63406362167425,0.0
2083,288,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,GDXJ,497.9192608397299,2022-03-25 20:52:26,2022-03-25 13:30:00,2022-03-28 13:00:00,2022-03-28,46.946476,10.606105149185849,20.42992519477807,9958.385216794597,497.9192608397298,508.92567058152326,11.00640974179339,-0.23444591968507691,10.840551068870926,0.0
2090,289,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,SBSW,348.54348258781096,2022-03-25 20:52:26,2022-03-25 13:30:00,2022-03-28 13:00:00,2022-03-28,16.110767,21.634195478577215,21.533120517301317,9958.385216794597,348.543482587811,330.45787883080516,-18.0856037570058,1.1225786926845756,20.511616785892638,0.0
2097,290,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,COPX,248.95963041986494,2022-03-25 20:52:26,2022-03-25 13:30:00,2022-03-28 13:00:00,2022-03-28,45.604,5.459162144107204,-2.9515888189680046,9958.385216794597,248.95963041986494,327.63709861661766,78.67746819675273,-1.7252317383727902,7.184393882479994,0.0
2103,291,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,SILJ,348.54348258781096,2022-03-25 20:52:26,2022-03-25 13:30:00,2022-03-28 13:00:00,2022-03-28,14.045,24.816196695465358,15.887949529354332,9958.385216794597,348.54348258781096,301.06142219402375,-47.48206039378721,3.3807091772009406,21.435487518264416,0.0
